"Order ID","Order Status","Order Date","Payment Method","Thumbnail","Product SKU","Product Name","Original Price","Price","Qty Ordered","Subtotal,Tax,Discounts","Row Total"""
"000005647","09     - Commande Livrée","Mar 3, 2025 01:30:05 PM","Cash On Delivery","/g/o/gouache-haute-qualite-fluo-flacon-de-300ml-primo-.jpg,1140622784","GOUACHE HAUTE QUALITE FLUO FLACON DE 300ml """"PRIMO""""","1250.00000000,1250.00000000,1,1250.00000000,0.00000000,62.50000000,1187.50000000"
"000005647","09     - Commande Livrée","Mar 3, 2025 01:30:05 PM","Cash On Delivery","/g/o/gouache-haute-qualite-fluo-flacon-de-300ml-primo-.jpg,1140622785","GOUACHE HAUTE QUALITE FLUO FLACON DE 300ml """"PRIMO""""","1250.00000000,1250.00000000,1,1250.00000000,0.00000000,62.50000000,1187.50000000"
"000005647","09     - Commande Livrée","Mar 3, 2025 01:30:05 PM","Cash On Delivery","/g/o/gouache-haute-qualite-fluo-flacon-de-300ml-primo-.jpg,1140622780","GOUACHE HAUTE QUALITE FLUO FLACON DE 300ml """"PRIMO""""","1250.00000000,1250.00000000,1,1250.00000000,0.00000000,62.50000000,1187.50000000"
"000005647","09     - Commande Livrée","Mar 3, 2025 01:30:05 PM","Cash On Delivery","/g/o/gouache-haute-qualite-fluo-flacon-de-300ml-primo-.jpg,1140622783","GOUACHE HAUTE QUALITE FLUO FLACON DE 300ml """"PRIMO""""","1250.00000000,1250.00000000,1,1250.00000000,0.00000000,62.50000000,1187.50000000"
"000005647","09     - Commande Livrée","Mar 3, 2025 01:30:05 PM","Cash On Delivery","/g/o/gouache-haute-qualite-fluo-flacon-de-300ml-primo-.jpg,1140622781","GOUACHE HAUTE QUALITE FLUO FLACON DE 300ml """"PRIMO""""","1250.00000000,1250.00000000,1,1250.00000000,0.00000000,62.50000000,1187.50000000"
"000005647","09     - Commande Livrée","Mar 3, 2025 01:30:05 PM","Cash On Delivery","/g/o/gouache-haute-qualite-fluo-flacon-de-300ml-primo-.jpg,1140622782","GOUACHE HAUTE QUALITE FLUO FLACON DE 300ml """"PRIMO""""","1250.00000000,1250.00000000,1,1250.00000000,0.00000000,62.50000000,1187.50000000"
"000005648","09     - Commande Livrée","Mar 3, 2025 05:06:55 PM","Cash On Delivery","/c/a/caisse-enregistreuse-bleu-casio-ref-se-g1s-bu-0.jpg,111823475","CAISSE ENREGISTREUSE BLEU """"CASIO"""" REF: SE-G1S-BU","34500.00000000,34500.00000000,1,34500.00000000,0.00000000,0.00000000,34500.00000000"
"000005649","09     - Commande Livrée","Mar 3, 2025 11:09:28 PM","Cash On Delivery","/s/u/surligneur-boss-original-deskset-birthday-edition-23pcs-stabilo-ref-1871143-1.jpg,1140637699","SURLIGNEUR BOSS ORIGINAL DESKSET BIRTHDAY EDITION 23PCS """"STABILO"""" REF: 7023-01-5","6950.00000000,6950.00000000,1,6950.00000000,0.00000000,347.50000000,6602.50000000"
"000005650","09     - Commande Livrée","Mar 4, 2025 08:39:52 AM","Cash On Delivery","/p/a/papier_couche_blanc_a4_brillant_300g_50f_techno_ref_9567.jpg,1140633298","PAPIER COUCHE BLANC A4 BRILLANT 300g 50F """"TECHNO"""" REF: 9567","780.00000000,780.00000000,5,3900.00000000,0.00000000,195.00000000,3705.00000000"
"000005651","09     - Commande Livrée","Mar 4, 2025 12:10:23 PM","Cash On Delivery","/t/r/trousse-ecolier-avec-2-compartiments-gris-techno-ref-6507.jpg,1140637431","TROUSSE ECOLIER AVEC 2 COMPARTIMENTS GRIS """"TECHNO"""" REF: 6507","1180.00000000,780.00000000,1,780.00000000,0.00000000,0.00000000,780.00000000"
"000005652","09     - Commande Livrée","Mar 5, 2025 05:14:18 AM","Cash On Delivery","/s/t/stylo-roller-rolly-techno-.jpg,1140633555","STYLO ROLLER ROLLY """"TECHNO"""" ","90.00000000,90.00000000,8,720.00000000,0.00000000,36.00000000,684.00000000"
